ID2,GROUP,AGE,HAND,IQ
33345,Group1,26,R,110
33346,Group1,19,R,93
33347,Group1,33,R,118
33348,Group1,31,R,110
33350,Group1,29,L,122
33351,Group1,30,R,118
33352,Group1,52,R,133
33354,Group1,42,R,114
33355,Group1,22,R,114
33356,Group1,18,R,95
33359,Group2,23,R,125
33362,Group2,23,R,122
33363,Group2,26,R,114
33364,Group2,30,R,110
33365,Group2,29,R,110
33366,Group2,29,R,110
33367,Group2,29,R,110
33368,Group2,23,R,107
33369,Group2,30,R,118
33370,Group2,22,R,118
33371,Group2,35,R,107
33372,Group2,25,R,118
33373,Group2,24,R,129
33375,Group1,11,R,105
33376,Group1,11,R,79
33377,Group1,11,R,79
33379,Group1,12,R,101
33380,Group1,11,R,122
33381,Group2,10,R,129
33382,Group2,11,R,110
33384,Group2,13,R,101
33385,Group2,7,R,98
33386,Group2,16,R,114
33387,Group2,33,R,114
33388,Group2,32,R,112
33389,Group2,26,R,122
33390,Group2,23,R,105
33392,Group2,21,R,112
33394,Group2,32,R,96
33396,Group2,48,R,99
33398,Group2,46,R,119
32316,Group1,12,L,97
32310,Group1,12,R,108
32299,Group1,15,R,80
32304,Group1,17,R,135
32319,Group1,18,L,124
32305,Group1,18,R,100
32302,Group1,20,R,118
32318,Group1,20,R,120
32301,Group1,15,R,103
32309,Group1,16,R,114
32311,Group1,18,R,129
32312,Group1,21,L,71
32287,Group2,17,R,100
32298,Group2,15,R,115
32286,Group2,16,R,125
32285,Group2,14,R,106
32293,Group2,14,R,118
32291,Group2,20,R,102
32580,Group2,21,L,135
32297,Group2,23,L,135
32289,Group2,21,R,132
32294,Group2,17,R,102
32290,Group2,21,R,131
32319,Group1,16.77,Ambi,103
32320,Group1,24.45,R,124
32321,Group1,19.09,R,113
32581,Group1,13.37,L,109
32323,Group1,17.78,R,110
32324,Group1,32.45,R,123
32325,Group1,33.86,R,126
32326,Group1,35.2,L,81
32327,Group1,16.93,L,111
32328,Group1,21.48,R,128
32330,Group1,14.2,R,96
32331,Group1,14.2,R,99
32332,Group1,21.82,R,123
32334,Group1,27.81,R,100
32582,Group1,20.83,R,100
32335,Group1,16.99,R,119
32337,Group1,22.64,R,127
32338,Group1,31.72,R,131
32339,Group1,16.28,R,87
32340,Group1,12.24,R,98
32341,Group1,12.74,R,126
32365,Group1,12.03,R,122
32367,Group1,16.99,R,111
32368,Group1,13.59,R,113
32343,Group2,25.12,Ambi,105
32344,Group2,12.92,R,106
32345,Group2,19.8,R,119
32346,Group2,12.15,R,98
32347,Group2,14.77,R,97
32348,Group2,17.36,R,107
32350,Group2,19.16,R,115
32578,Group2,30.66,R,118
32352,Group2,24.6,R,110
32353,Group2,27.92,R,103
32354,Group2,33.17,R,109
32355,Group2,13.78,R,113
32356,Group2,17.13,R,110
32357,Group2,15.7,R,114
32358,Group2,20.65,R,100
32359,Group2,15.35,R,103
32360,Group2,11.81,R,107
32362,Group2,14.37,L,113
32363,Group2,12.83,R,107
32364,Group2,33.24,R,122
32366,Group2,9.44,R,95
32370,Group2,23.1,R,127
32372,Group2,20.34,R,126
32524,Group2,18.28,R,131
32525,Group2,18.74,L,100
32526,Group2,18.26,R,93
32527,Group2,16.1,R,100
32528,Group2,13.81,R,126
32529,Group2,14.94,R,138
32644,Group2,15.03,R,97
32530,Group2,22.6,R,128
32531,Group2,23.95,R,98
32532,Group2,27.6,R,123
32533,Group2,26.85,R,127
32534,Group2,17.07,R,120
32535,Group2,24.99,R,100
32536,Group2,18.14,R,128
32537,Group2,27.32,R,116
32538,Group2,12.94,R,130
32539,Group2,10.47,R,144
32540,Group2,18.22,R,108
32541,Group2,21.1,R,95
32542,Group2,12.53,R,109
32543,Group2,29.97,R,112
32544,Group2,8.77,R,121
32545,Group2,18.8,R,111
32546,Group2,31.28,R,112
32547,Group2,16.1,L,109
32548,Group2,34.05,R,123
32549,Group2,26.15,R,148
32550,Group2,18.15,R,111
32551,Group2,14.41,R,109
32552,Group2,16.39,R,113
32553,Group2,24.65,R,120
32645,Group2,28.37,R,121
32554,Group2,9.95,R,119
32555,Group2,34.01,R,129
32556,Group2,39.25,R,103
32557,Group2,19.76,R,89
32558,Group2,39.39,R,122
32559,Group2,28.56,R,134
32560,Group2,9.92,R,106
32561,Group2,25.02,R,108
32562,Group2,22.11,R,104
32563,Group2,22.44,R,106
32564,Group2,22.05,R,110
32565,Group1,21.65,R,117
32646,Group1,20.17,R,108
32590,Group1,20.18,R,92
32591,Group1,20.18,R,91
32592,Group1,22.88,R,113
32593,Group1,29.09,R,127
32594,Group1,17.17,R,88
32595,Group1,27.41,R,94
32596,Group1,21.43,R,96
32597,Group1,19.7,R,102
32598,Group1,23.59,R,132
32599,Group1,17.79,R,97
32600,Group1,25.8,R,86
32601,Group1,25.45,L,100
32603,Group1,19.63,R,110
32604,Group1,26.95,R,125
32647,Group1,32.55,R,126
32605,Group1,35.71,L,102
32606,Group1,37.78,R,65
32607,Group1,22.56,L,88
32608,Group1,24.32,R,129
32609,Group1,34.46,R,80
32610,Group1,21.13,R,99
32611,Group1,25.43,R,113
32612,Group1,17.24,R,118
32613,Group1,17.71,R,78
32614,Group1,32.96,R,90
32615,Group1,28.67,R,80
32616,Group1,17.65,R,87
32617,Group1,33.18,R,95
32618,Group1,15.93,R,73
32619,Group1,28.11,R,97
32620,Group1,26.38,R,107
32621,Group1,16.73,R,95
32622,Group1,14.14,R,102
32623,Group1,16.38,R,114
32624,Group1,15.49,R,121
32625,Group1,18.47,L,102
32626,Group1,21.4,R,109
32627,Group1,15.85,R,94
32628,Group1,17.11,R,107
32648,Group1,16.5,L,109
32629,Group1,18.66,L,77
32630,Group1,16.38,R,83
32631,Group1,17.67,R,76
32632,Group1,18.42,R,80
32633,Group1,14.75,R,100
32634,Group1,17.33,R,115
32636,Group1,32.85,R,106
32637,Group1,50.22,R,123
32638,Group1,18.41,R,93
32640,Group1,42.34,R,128
32641,Group1,18.25,L,106
32642,Group1,28.09,R,112
32643,Group1,16.92,R,84
32074,Group1,12.75,R,106
32076,Group1,15.14,R,108
32077,Group1,9.74,L,76
32567,Group1,10.24,R,122
32081,Group1,13.95,R,100
32082,Group1,17.88,R,112
32083,Group1,11.56,R,90
32085,Group1,14.65,R,127
32090,Group1,12.96,L,100
32091,Group1,9.46,R,119
32093,Group1,13.2,R,98
32094,Group1,13.09,R,90
32099,Group1,13.71,R,131
32102,Group1,10.87,L,101
32103,Group1,15.66,R,102
32104,Group1,16.74,R,109
32568,Group1,15.81,L,100
32110,Group1,7.228,R,90
32112,Group1,11.11,R,103
32113,Group1,11.92,R,108
32119,Group1,7.15,L,100
32121,Group1,29.98,R,105
32122,Group1,22.99,R,134
32123,Group1,22.04,R,137
32124,Group1,20.25,R,116
32125,Group1,22.29,L,108
32569,Group1,28.58,L,107
32141,Group1,23.66,R,112
32144,Group1,39.1,R,98
32145,Group1,19.64,R,94
32147,Group1,22.98,L,102
32148,Group1,29.18,R,80
32149,Group1,26.516,R,107
32151,Group1,7.15,R,93
32154,Group1,10.27,R,100
32180,Group2,7.26,R,119
32181,Group2,10.52,R,105
32571,Group2,18.59,R,112
32183,Group2,31.78,R,104
32184,Group2,8.15,R,118
32188,Group2,12.49,R,126
32190,Group2,14.2,R,109
32191,Group2,16.93,R,124
32192,Group2,17.3,R,109
32193,Group2,6.47,L,114
32194,Group2,7.19,R,129
32197,Group2,8.88,R,119
32199,Group2,9.23,R,118
32202,Group2,10.52,R,111
32205,Group2,11.03,R,107